Date	Treatment	name
092123	10 mM	092123_Cg log FGL_Experiment_Plate_10.fcs
092123	100 mM	092123_Cg log FGL_Experiment_Plate_100.fcs
092123	1000 mM	092123_Cg log FGL_Experiment_Plate_1M.fcs
092123	2 mM	092123_Cg log FGL_Experiment_Plate_2.fcs
092123	20 mM	092123_Cg log FGL_Experiment_Plate_20.fcs
092123	4 mM	092123_Cg log FGL_Experiment_Plate_4.fcs
092123	40 mM	092123_Cg log FGL_Experiment_Plate_40.fcs
092123	6 mM	092123_Cg log FGL_Experiment_Plate_6.fcs
092123	60 mM	092123_Cg log FGL_Experiment_Plate_60.fcs
092123	8 mM	092123_Cg log FGL_Experiment_Plate_8.fcs
092123	80 mM	092123_Cg log FGL_Experiment_Plate_80.fcs
092123	0 mM	092123_Cg log FGL_Experiment_Plate_Mock.fcs
092523	10 mM	092523_Cg log FGL_Experiment_Plate_10.fcs
092523	100 mM	092523_Cg log FGL_Experiment_Plate_100.fcs
092523	1000 mM	092523_Cg log FGL_Experiment_Plate_1M.fcs
092523	2 mM	092523_Cg log FGL_Experiment_Plate_2.fcs
092523	20 mM	092523_Cg log FGL_Experiment_Plate_20.fcs
092523	4 mM	092523_Cg log FGL_Experiment_Plate_4.fcs
092523	40 mM	092523_Cg log FGL_Experiment_Plate_40.fcs
092523	6 mM	092523_Cg log FGL_Experiment_Plate_6.fcs
092523	60 mM	092523_Cg log FGL_Experiment_Plate_60.fcs
092523	8 mM	092523_Cg log FGL_Experiment_Plate_8.fcs
092523	80 mM	092523_Cg log FGL_Experiment_Plate_80.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 10.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 100.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 1M.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 2.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 20.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 4.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 40.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 6.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 60.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 8.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B 80.fcs
092523	NA mM	092523_Cg log FGL_Experiment_Plate_B Mock.fcs
092523	0 mM	092523_Cg log FGL_Experiment_Plate_Mock.fcs
100423	10 mM	100423_Cg log FGL_Experiment_Plate_10.fcs
100423	100 mM	100423_Cg log FGL_Experiment_Plate_100.fcs
100423	1000 mM	100423_Cg log FGL_Experiment_Plate_1M.fcs
100423	2 mM	100423_Cg log FGL_Experiment_Plate_2.fcs
100423	20 mM	100423_Cg log FGL_Experiment_Plate_20.fcs
100423	4 mM	100423_Cg log FGL_Experiment_Plate_4.fcs
100423	40 mM	100423_Cg log FGL_Experiment_Plate_40.fcs
100423	6 mM	100423_Cg log FGL_Experiment_Plate_6.fcs
100423	60 mM	100423_Cg log FGL_Experiment_Plate_60.fcs
100423	8 mM	100423_Cg log FGL_Experiment_Plate_8.fcs
100423	80 mM	100423_Cg log FGL_Experiment_Plate_80.fcs
100423	0 mM	100423_Cg log FGL_Experiment_Plate_Mock.fcs
